timestamp,type,says,basketValueGross,overallBasketSavings,basketValueNet,numberOfItems,payment_type,payment_category,payment_amount,customerId,requestId
2023-09-03 18:45:14.114,IN_STORE,NA,17.55,1.75,17.55,11,Amex,Amex,17.55,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2021-10-13 17:43:15.296,IN_STORE,NA,33.05,,27.27,26,MastercardDebit,MastercardDebit,27.27,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2022-06-02 19:26:05.148,IN_STORE,NA,1.2,,1.2,1,MastercardDebit,MastercardDebit,1.2,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2023-09-04 08:32:27.224,IN_STORE,NA,1.1,,1.1,1,Amex,Amex,1.1,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2022-06-12 15:56:11.271,IN_STORE,NA,13.35,0.8,10.21,7,MastercardDebit,MastercardDebit,10.21,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2022-02-04 19:07:54.612,IN_STORE,NA,15.5,0.25,13.32,17,MastercardDebit,MastercardDebit,13.32,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-07-24 12:55:46.025,IN_STORE,NA,5.33,1.8,5.33,4,AMERICAN EXPRESS,AMERICAN EXPRESS,5.33,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2022-04-15 14:24:01.786,IN_STORE,NA,22.35,1.35,18.75,16,MastercardDebit,MastercardDebit,18.75,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2023-11-01 12:46:35.920,IN_STORE,NA,4.5,2.45,4.5,4,Amex,Amex,4.5,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2021-11-02 16:49:44.359,IN_STORE,NA,27.15,2.5,21.1,18,MastercardDebit,MastercardDebit,21.1,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
